Port Name,Administrative Approach Rank,"Total
Points",Economy Label,Port Name.1,Statistic Approach Rank,IndeX Value,Economy Label.1,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2020S01,S1   2020,2020,S,Semi-annual,156,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000,,323182,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2020S01,S1   2020,2020,S,Semi-annual,156,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665,,23964,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2020S01,S1   2020,2020,S,Semi-annual,156,4,Dry breakbulk carriers,1.2507,,17,,10009,,91649,,14189,,101496,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2020S01,S1   2020,2020,S,Semi-annual,156,5,Dry bulk carriers,2.0215,,13,,41352,,204014,,75286,,404389,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2020S01,S1   2020,2020,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,34409,,76420,,11208,,43878,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2020S01,S1   2020,2020,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0083,,15,,8225,,59226,,9047,,64220,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2020S01,S1   2020,2020,S,Semi-annual,156,8,Liquefied natural gas carriers,1.1778,,10,,95555,,168189,,76135,,155159,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2020S02,S2   2020,2020,S,Semi-annual,156,0,All ships,1.0958,,13,,32371,,237200,,46177,,404389,,4611,,23964,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2020S02,S2   2020,2020,S,Semi-annual,156,1,Passenger ships,,,13,,16135,,169379,,,,,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2020S02,S2   2020,2020,S,Semi-annual,156,2,Liquid bulk carriers,1.1646,,11,,21058,,170618,,36953,,323183,,,,,
