Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,CHATTOGRAM,306,1.809,298,-28.0
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,DAKAR,177,-0.031,120,12.0
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,DAMIETTA,250,0.65,297,-28.0
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,FREMANTLE,326,2.716,21,61.0
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,GRANGEMOUTH,243,0.56,6,92.0
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,LONDON,82,-1.117,355,-73.209
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,NOUAKCHOTT,356,-175.532,292,-25.0
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,QINZHOU,127,-0.523,148,8.0
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,QUY NHON,79,-1.163,104,16.0
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,SHANTOU,91,-0.935,117,12.0
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,SHEKOU,9,-3.726,5,94.0
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,SHIMIZU,12,-3.361,24,59.0
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,THESSALONIKI,284,1.229,284,-22.0
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,"WILMINGTON (NORTH CAROLINA, USA)",155,-0.237,67,30.0
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,YANGSHAN,28,-2.733,10,87.0
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,YANTIAN,29,-2.724,17,73.0
2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,,ZHOUSHAN,20,-2.963,8,88.0
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,CHATTOGRAM,306,1.809,298,-28.0
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,DAKAR,177,-0.031,120,12.0
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,DAMIETTA,250,0.65,297,-28.0
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,FREMANTLE,326,2.716,21,61.0
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,GRANGEMOUTH,243,0.56,6,92.0
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,LONDON,82,-1.117,355,-73.209
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,NOUAKCHOTT,356,-175.532,292,-25.0
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,QINZHOU,127,-0.523,148,8.0
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,QUY NHON,79,-1.163,104,16.0
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,SHANTOU,91,-0.935,117,12.0
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,SHEKOU,9,-3.726,5,94.0
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,SHIMIZU,12,-3.361,24,59.0
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,THESSALONIKI,284,1.229,284,-22.0
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,"WILMINGTON (NORTH CAROLINA, USA)",155,-0.237,67,30.0
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,YANGSHAN,28,-2.733,10,87.0
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,YANTIAN,29,-2.724,17,73.0
2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,,ZHOUSHAN,20,-2.963,8,88.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,CHATTOGRAM,306,1.809,298,-28.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,DAKAR,177,-0.031,120,12.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,DAMIETTA,250,0.65,297,-28.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,FREMANTLE,326,2.716,21,61.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,GRANGEMOUTH,243,0.56,6,92.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,LONDON,82,-1.117,355,-73.209
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,NOUAKCHOTT,356,-175.532,292,-25.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,QINZHOU,127,-0.523,148,8.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,QUY NHON,79,-1.163,104,16.0
