Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
2020S01,S1   2020,2020,S,Semi-annual,528,Netherlands,7,Liquefied petroleum gas carriers,0.9757,,12,,7553,,48542,,8530.0,,55209.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,528,Netherlands,8,Liquefied natural gas carriers,1.0326,,5,,71706,,139050,,55103.0,,109661.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,579,Norway,0,All ships,0.4028,,15,,4023,,165680,,7354.0,,320392.0,,839.0,,1730.0,
2020S01,S1   2020,2020,S,Semi-annual,579,Norway,1,Passenger ships,,,14,,3837,,76152,,,,,,,,,
2020S01,S1   2020,2020,S,Semi-annual,579,Norway,2,Liquid bulk carriers,0.6035,,15,,13187,,165680,,21566.0,,320392.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,579,Norway,3,Container ships,0.3295,,16,,8836,,16802,,,,,,839.0,,1730.0,
2020S01,S1   2020,2020,S,Semi-annual,579,Norway,4,Dry breakbulk carriers,0.3042,,23,,2771,,39258,,3277.0,,61860.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,579,Norway,5,Dry bulk carriers,0.8472,,15,,17279,,109716,,29272.0,,211081.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,579,Norway,6,Roll-on/ roll-off ships,,,18,,10317,,67378,,6252.0,,28388.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,579,Norway,7,Liquefied petroleum gas carriers,0.7705,,11,,11114,,48060,,12364.0,,55209.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,579,Norway,8,Liquefied natural gas carriers,0.2576,,14,,19219,,121597,,13676.0,,95743.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,643,Russian Federation,0,All ships,1.4424,,25,,12096,,164796,,17904.0,,317502.0,,1516.0,,9400.0,
2020S01,S1   2020,2020,S,Semi-annual,643,Russian Federation,1,Passenger ships,,,36,,8247,,12288,,,,,,,,,
2020S01,S1   2020,2020,S,Semi-annual,643,Russian Federation,2,Liquid bulk carriers,1.1437,,23,,14062,,164796,,23851.0,,317502.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,643,Russian Federation,3,Container ships,1.3253,,18,,16717,,95256,,,,,,1516.0,,9400.0,
2020S01,S1   2020,2020,S,Semi-annual,643,Russian Federation,4,Dry breakbulk carriers,1.7493,,31,,4036,,43528,,5138.0,,62053.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,643,Russian Federation,5,Dry bulk carriers,2.4722,,13,,28189,,95309,,49351.0,,182618.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,643,Russian Federation,6,Roll-on/ roll-off ships,,,31,,10917,,43810,,5739.0,,22910.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,643,Russian Federation,7,Liquefied petroleum gas carriers,1.3903,,11,,9461,,27725,,11016.0,,41158.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,643,Russian Federation,8,Liquefied natural gas carriers,1.0688,,8,,102837,,133948,,75224.0,,97000.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,724,Spain,0,All ships,0.9021,,17,,16447,,232618,,14031.0,,208000.0,,3257.0,,23756.0,
2020S01,S1   2020,2020,S,Semi-annual,724,Spain,1,Passenger ships,,,19,,13475,,220000,,,,,,,,,
2020S01,S1   2020,2020,S,Semi-annual,724,Spain,2,Liquid bulk carriers,0.9007,,12,,10418,,87146,,16963.0,,166300.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,724,Spain,3,Container ships,0.6632,,15,,35800,,232618,,,,,,3257.0,,23756.0,
2020S01,S1   2020,2020,S,Semi-annual,724,Spain,4,Dry breakbulk carriers,1.2389,,16,,5262,,71543,,7285.0,,62980.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,724,Spain,5,Dry bulk carriers,1.8323,,17,,21521,,107737,,36923.0,,208000.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,724,Spain,6,Roll-on/ roll-off ships,,,17,,22643,,76420,,8174.0,,45200.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,724,Spain,7,Liquefied petroleum gas carriers,1.0097,,14,,9308,,48502,,10977.0,,58610.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,724,Spain,8,Liquefied natural gas carriers,1.0375,,9,,95855,,136980,,76071.0,,156000.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,752,Sweden,0,All ships,0.8087,,22,,15352,,214286,,9067.0,,307284.0,,1550.0,,19630.0,
2020S01,S1   2020,2020,S,Semi-annual,752,Sweden,1,Passenger ships,,,24,,18612,,58377,,,,,,,,,
2020S01,S1   2020,2020,S,Semi-annual,752,Sweden,2,Liquid bulk carriers,0.6983,,14,,8963,,159911,,13799.0,,307284.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,752,Sweden,3,Container ships,0.6361,,15,,16616,,214286,,,,,,1550.0,,19630.0,
