DATAFLOW,LAST UPDATE,freq,direct,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IT,2015,458020,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IT,2016,461990,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IT,2017,475164,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IT,2018,501958,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IT,2019,508074,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IT,2020,469635,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IT,2021,501603,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LT,2010,37869,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LT,2011,42661,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LT,2012,41033,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LT,2013,39757,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LT,2014,41105,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LT,2015,43128,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LT,2016,46236,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LT,2017,49856,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LT,2018,52462,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LT,2019,52244,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LT,2020,51529,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LT,2021,49385,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LV,2010,58691,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LV,2011,67016,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LV,2012,72723,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LV,2013,67148,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LV,2014,71836,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LV,2015,67811,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LV,2016,60962,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LV,2017,58687,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LV,2018,62660,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LV,2019,59046,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LV,2020,42099,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,LV,2021,39705,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ME,2012,1163,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ME,2013,1267,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ME,2014,1241,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ME,2015,1487,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ME,2016,1617,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ME,2017,2096,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ME,2018,1956,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ME,2019,2035,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ME,2020,2044,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ME,2021,1859,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,MT,2010,3796,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,MT,2011,3345,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,MT,2012,3326,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,MT,2013,3101,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,MT,2014,3460,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,MT,2015,3705,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,MT,2016,3788,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,MT,2017,4114,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,MT,2018,4559,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,MT,2019,5195,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,MT,2020,5738,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,MT,2021,3370,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NL,2010,538702,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NL,2011,550745,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NL,2012,557264,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NL,2013,558542,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NL,2014,571636,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NL,2015,594272,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NL,2016,588772,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NL,2017,595810,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NL,2018,604542,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NL,2019,607527,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NL,2020,557583,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NL,2021,593225,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NO,2010,195132,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NO,2011,198970,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NO,2012,205959,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NO,2013,207057,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NO,2014,200812,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NO,2015,193605,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NO,2016,200143,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NO,2017,210649,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NO,2018,215438,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NO,2019,211207,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NO,2020,222829,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,NO,2021,225781,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,PL,2010,59507,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,PL,2011,57738,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,PL,2012,58825,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,PL,2013,64282,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,PL,2014,68744,
