Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
2018S01,S1   2018,2018,S,Semi-annual,579,Norway,7,Liquefied petroleum gas carriers,0.75,,11,,10681,,48051,,12022,,55047,,,,,
2018S01,S1   2018,2018,S,Semi-annual,579,Norway,8,Liquefied natural gas carriers,0.31,,10,,19431,,121597,,13848,,84878,,,,,
2018S01,S1   2018,2018,S,Semi-annual,643,Russian Federation,0,All ships,1.42,,22,,9289,,145655,,15397,,206010,,1481,,6802,
2018S01,S1   2018,2018,S,Semi-annual,643,Russian Federation,1,Passenger ships,,,16,,4350,,145655,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,643,Russian Federation,2,Liquid bulk carriers,1.09,,21,,11941,,94729,,19982,,166300,,,,,
2018S01,S1   2018,2018,S,Semi-annual,643,Russian Federation,3,Container ships,1.37,,16,,16577,,80942,,,,,,1481,,6802,
2018S01,S1   2018,2018,S,Semi-annual,643,Russian Federation,4,Dry breakbulk carriers,1.75,,28,,4020,,43788,,5130,,53035,,,,,
2018S01,S1   2018,2018,S,Semi-annual,643,Russian Federation,5,Dry bulk carriers,2.49,,13,,25482,,106884,,44389,,206010,,,,,
2018S01,S1   2018,2018,S,Semi-annual,643,Russian Federation,6,Roll-on/ roll-off ships,,,26,,9804,,50309,,5641,,22910,,,,,
2018S01,S1   2018,2018,S,Semi-annual,643,Russian Federation,7,Liquefied petroleum gas carriers,1.39,,9,,11432,,19554,,13112,,26798,,,,,
2018S01,S1   2018,2018,S,Semi-annual,643,Russian Federation,8,Liquefied natural gas carriers,1.15,,8,,110457,,128975,,79147,,96958,,,,,
2018S01,S1   2018,2018,S,Semi-annual,724,Spain,0,All ships,0.85,,16,,15885,,228081,,14110,,209096,,3256,,20776,
2018S01,S1   2018,2018,S,Semi-annual,724,Spain,1,Passenger ships,,,19,,13579,,228081,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,724,Spain,2,Liquid bulk carriers,0.84,,11,,11000,,88393,,18132,,167294,,,,,
2018S01,S1   2018,2018,S,Semi-annual,724,Spain,3,Container ships,0.66,,13,,35658,,217673,,,,,,3256,,20776,
2018S01,S1   2018,2018,S,Semi-annual,724,Spain,4,Dry breakbulk carriers,1.14,,15,,5161,,51065,,7226,,81279,,,,,
2018S01,S1   2018,2018,S,Semi-annual,724,Spain,5,Dry bulk carriers,2.25,,14,,25581,,107666,,44915,,209096,,,,,
2018S01,S1   2018,2018,S,Semi-annual,724,Spain,6,Roll-on/ roll-off ships,,,16,,22470,,77000,,8391,,48988,,,,,
2018S01,S1   2018,2018,S,Semi-annual,724,Spain,7,Liquefied petroleum gas carriers,0.95,,11,,7219,,48456,,8297,,58690,,,,,
2018S01,S1   2018,2018,S,Semi-annual,724,Spain,8,Liquefied natural gas carriers,1.04,,10,,92008,,136739,,72911,,107153,,,,,
2018S01,S1   2018,2018,S,Semi-annual,752,Sweden,0,All ships,0.79,,22,,15053,,214286,,8634,,164214,,1471,,19630,
2018S01,S1   2018,2018,S,Semi-annual,752,Sweden,1,Passenger ships,,,24,,18114,,145655,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,752,Sweden,2,Liquid bulk carriers,0.67,,14,,8284,,94729,,12944,,164214,,,,,
2018S01,S1   2018,2018,S,Semi-annual,752,Sweden,3,Container ships,0.67,,14,,15778,,214286,,,,,,1471,,19630,
2018S01,S1   2018,2018,S,Semi-annual,752,Sweden,4,Dry breakbulk carriers,1.04,,19,,3485,,30469,,4959,,38330,,,,,
2018S01,S1   2018,2018,S,Semi-annual,752,Sweden,5,Dry bulk carriers,0.53,,28,,6448,,50633,,9293,,95746,,,,,
2018S01,S1   2018,2018,S,Semi-annual,752,Sweden,6,Roll-on/ roll-off ships,,,18,,24919,,100430,,11297,,55631,,,,,
2018S01,S1   2018,2018,S,Semi-annual,752,Sweden,7,Liquefied petroleum gas carriers,0.81,,14,,7192,,48051,,8190,,55047,,,,,
2018S01,S1   2018,2018,S,Semi-annual,752,Sweden,8,Liquefied natural gas carriers,0.58,,4,,10517,,22887,,7448,,20900,,,,,
2018S01,S1   2018,2018,S,Semi-annual,792,Türkiye,0,All ships,1.23,,24,,5510,,161135,,14346,,319360,,3025,,15226,
2018S01,S1   2018,2018,S,Semi-annual,792,Türkiye,1,Passenger ships,,,25,,1624,,98785,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,792,Türkiye,2,Liquid bulk carriers,1.1,,13,,16081,,161135,,27665,,319360,,,,,
2018S01,S1   2018,2018,S,Semi-annual,792,Türkiye,3,Container ships,0.63,,15,,33242,,153744,,,,,,3025,,15226,
2018S01,S1   2018,2018,S,Semi-annual,792,Türkiye,4,Dry breakbulk carriers,1.55,,26,,3836,,42515,,5415,,54204,,,,,
2018S01,S1   2018,2018,S,Semi-annual,792,Türkiye,5,Dry bulk carriers,4.13,,14,,24923,,106884,,43041,,206030,,,,,
2018S01,S1   2018,2018,S,Semi-annual,792,Türkiye,6,Roll-on/ roll-off ships,,,26,,21413,,76420,,8942,,46705,,,,,
2018S01,S1   2018,2018,S,Semi-annual,792,Türkiye,7,Liquefied petroleum gas carriers,1.38,,14,,18648,,48419,,21780,,58677,,,,,
2018S01,S1   2018,2018,S,Semi-annual,792,Türkiye,8,Liquefied natural gas carriers,1.3,,11,,114906,,137535,,94648,,122079,,,,,
2018S01,S1   2018,2018,S,Semi-annual,842,United States of America,0,All ships,1.45,,24,,16327,,227700,,47104,,320805,,5254,,14568,
2018S01,S1   2018,2018,S,Semi-annual,842,United States of America,1,Passenger ships,,,28,,7727,,227700,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,842,United States of America,2,Liquid bulk carriers,1.64,,10,,36094,,170004,,62635,,320805,,,,,
