,Period Label,Year,Location,Vessel Type,Median time in port (days),Average age of vessels,Average size (GT) of vessels,Maximum size (GT) of vessels,Average cargo carrying capacity (dwt) per vessel,Maximum cargo carrying capacity (dwt) of vessels,Average container carrying capacity (TEU) per container ship,Maximum container carrying capacity (TEU) of container ships
556,S2-2019,2019,Australia,Roll-on/ roll-off ships,,13,38521,76420,15119.0,43878.0,,
557,S2-2019,2019,Australia,Liquefied petroleum gas carriers,0.9344,9,14677,50676,16730.0,55134.0,,
558,S2-2019,2019,Australia,Liquefied natural gas carriers,1.2337,8,112157,151500,84708.0,97955.0,,
559,S2-2019,2019,Canada,All ships,0.6528,27,12167,171598,34352.0,321300.0,5138.0,13386.0
560,S2-2019,2019,Canada,Passenger ships,,30,7848,171598,,,,
561,S2-2019,2019,Canada,Liquid bulk carriers,1.0434,11,21191,169919,35102.0,321300.0,,
562,S2-2019,2019,Canada,Container ships,1.467,13,57058,153666,,,5138.0,13386.0
563,S2-2019,2019,Canada,Dry breakbulk carriers,0.7288,12,11782,44234,16484.0,55531.0,,
564,S2-2019,2019,Canada,Dry bulk carriers,0.2201,24,26907,107897,46142.0,209988.0,,
565,S2-2019,2019,Canada,Roll-on/ roll-off ships,,18,11940,100430,6277.0,55828.0,,
566,S2-2019,2019,Canada,Liquefied petroleum gas carriers,1.5903,7,44360,48963,50572.0,58757.0,,
567,S2-2019,2019,China,All ships,1.0313,12,32389,232618,45529.0,404389.0,4659.0,23756.0
568,S2-2019,2019,China,Passenger ships,,12,17154,169379,,,,
569,S2-2019,2019,China,Liquid bulk carriers,1.0646,10,20505,172146,35963.0,323183.0,,
570,S2-2019,2019,China,Container ships,0.5958,12,49970,232618,,,4659.0,23756.0
571,S2-2019,2019,China,Dry breakbulk carriers,1.1667,16,10077,91784,14323.0,138743.0,,
572,S2-2019,2019,China,Dry bulk carriers,2.0319,12,42121,204014,76729.0,404389.0,,
573,S2-2019,2019,China,Roll-on/ roll-off ships,,14,29367,76420,9472.0,43878.0,,
574,S2-2019,2019,China,Liquefied petroleum gas carriers,0.975,15,8023,59226,8914.0,64220.0,,
575,S2-2019,2019,China,Liquefied natural gas carriers,1.1844,9,96112,168189,75851.0,155159.0,,
576,S2-2019,2019,Croatia,All ships,1.2347,15,3942,153744,15500.0,159092.0,3280.0,15226.0
577,S2-2019,2019,Croatia,Passenger ships,,15,3645,113561,,,,
578,S2-2019,2019,Croatia,Liquid bulk carriers,1.0708,13,15801,82839,27318.0,159092.0,,
579,S2-2019,2019,Croatia,Container ships,0.6313,13,35566,153744,,,3280.0,15226.0
580,S2-2019,2019,Croatia,Dry breakbulk carriers,2.8438,22,4650,23119,6232.0,29901.0,,
581,S2-2019,2019,Croatia,Dry bulk carriers,2.3465,36,7500,51255,12809.0,93237.0,,
582,S2-2019,2019,Denmark,All ships,0.7434,19,9905,214286,7602.0,158622.0,1736.0,19630.0
583,S2-2019,2019,Denmark,Passenger ships,,18,10252,171598,,,,
584,S2-2019,2019,Denmark,Liquid bulk carriers,0.6896,16,8454,93147,13447.0,158622.0,,
585,S2-2019,2019,Denmark,Container ships,0.491,18,18546,214286,,,1736.0,19630.0
586,S2-2019,2019,Denmark,Dry breakbulk carriers,0.8688,23,3095,26770,4207.0,37994.0,,
587,S2-2019,2019,Denmark,Dry bulk carriers,0.8604,15,7869,54486,12570.0,95263.0,,
588,S2-2019,2019,Denmark,Roll-on/ roll-off ships,,19,20604,52485,12435.0,24485.0,,
589,S2-2019,2019,Denmark,Liquefied petroleum gas carriers,1.0653,11,5758,20151,6616.0,24286.0,,
590,S2-2019,2019,France,All ships,1.1243,17,22954,225282,17174.0,320805.0,5037.0,20600.0
591,S2-2019,2019,France,Passenger ships,,18,24055,225282,,,,
592,S2-2019,2019,France,Liquid bulk carriers,1.0403,12,12277,165680,20723.0,320805.0,,
593,S2-2019,2019,France,Container ships,0.7347,14,56308,217673,,,5037.0,20600.0
594,S2-2019,2019,France,Dry breakbulk carriers,1.5962,16,4610,44865,6401.0,73296.0,,
595,S2-2019,2019,France,Dry bulk carriers,3.2503,12,26599,94544,46798.0,183026.0,,
596,S2-2019,2019,France,Roll-on/ roll-off ships,,16,27666,76420,10967.0,46705.0,,
597,S2-2019,2019,France,Liquefied petroleum gas carriers,1.1288,11,9297,48022,10336.0,54592.0,,
598,S2-2019,2019,France,Liquefied natural gas carriers,1.1736,8,102442,163922,79618.0,156000.0,,
599,S2-2019,2019,Germany,All ships,0.475,18,12971,232618,8260.0,299546.0,3798.0,23756.0
600,S2-2019,2019,Germany,Passenger ships,,19,11632,177000,,,,
601,S2-2019,2019,Germany,Liquid bulk carriers,0.3625,16,4856,154137,8078.0,299546.0,,
602,S2-2019,2019,Germany,Container ships,0.7285,12,41334,232618,,,3798.0,23756.0
603,S2-2019,2019,Germany,Dry breakbulk carriers,0.3271,20,3555,71543,4799.0,62924.0,,
604,S2-2019,2019,Germany,Dry bulk carriers,2.0396,12,28035,106946,49303.0,206118.0,,
605,S2-2019,2019,Germany,Roll-on/ roll-off ships,,16,29754,100430,11177.0,55828.0,,
606,S2-2019,2019,Germany,Liquefied petroleum gas carriers,0.6528,12,4869,25118,5263.0,28735.0,,
607,S2-2019,2019,Greece,All ships,0.7288,21,8651,217600,7247.0,166739.0,3839.0,21413.0
608,S2-2019,2019,Greece,Passenger ships,,21,8187,171500,,,,
609,S2-2019,2019,Greece,Liquid bulk carriers,0.5201,20,5127,85421,8088.0,166739.0,,
610,S2-2019,2019,Greece,Container ships,1.0229,14,41378,217600,,,3839.0,21413.0
611,S2-2019,2019,Greece,Dry breakbulk carriers,1.1365,31,2842,27103,3956.0,33367.0,,
612,S2-2019,2019,Greece,Dry bulk carriers,0.2771,26,5631,44407,9390.0,82165.0,,
613,S2-2019,2019,Greece,Roll-on/ roll-off ships,,30,18305,75528,7228.0,48988.0,,
614,S2-2019,2019,Greece,Liquefied petroleum gas carriers,0.9361,25,4961,22978,5779.0,26416.0,,
615,S2-2019,2019,Greece,Liquefied natural gas carriers,1.0875,13,102047,136980,84566.0,122006.0,,
616,S2-2019,2019,Indonesia,All ships,1.2653,20,7651,172146,15902.0,319869.0,1454.0,11356.0
617,S2-2019,2019,Indonesia,Passenger ships,,22,5083,150695,,,,
618,S2-2019,2019,Indonesia,Liquid bulk carriers,1.1993,15,8367,172146,12986.0,319869.0,,
619,S2-2019,2019,Indonesia,Container ships,1.0368,14,15338,131332,,,1454.0,11356.0
620,S2-2019,2019,Indonesia,Dry breakbulk carriers,1.2844,19,5083,49551,6506.0,72562.0,,
621,S2-2019,2019,Indonesia,Dry bulk carriers,2.849,17,24193,108051,42371.0,209325.0,,
622,S2-2019,2019,Indonesia,Roll-on/ roll-off ships,,35,8942,76420,4068.0,21420.0,,
623,S2-2019,2019,Indonesia,Liquefied petroleum gas carriers,1.1278,19,9161,50676,10225.0,58757.0,,
624,S2-2019,2019,Indonesia,Liquefied natural gas carriers,1.3785,21,87942,122000,68699.0,91515.0,,
625,S2-2019,2019,Italy,All ships,1.2875,26,10333,225282,18138.0,181010.0,4087.0,19462.0
626,S2-2019,2019,Italy,Passenger ships,,28,7855,225282,,,,
627,S2-2019,2019,Italy,Liquid bulk carriers,1.2389,18,15993,94729,27101.0,166739.0,,
628,S2-2019,2019,Italy,Container ships,0.924,15,44917,194849,,,4087.0,19462.0
629,S2-2019,2019,Italy,Dry breakbulk carriers,2.0882,18,5908,41416,8160.0,62980.0,,
630,S2-2019,2019,Italy,Dry bulk carriers,3.5903,14,22719,94528,38898.0,181010.0,,
631,S2-2019,2019,Italy,Roll-on/ roll-off ships,,14,30366,75283,12410.0,46705.0,,
632,S2-2019,2019,Italy,Liquefied petroleum gas carriers,1.5319,12,8385,25079,9459.0,28100.0,,
633,S2-2019,2019,Japan,All ships,0.4049,14,10981,219688,15290.0,400000.0,1598.0,20388.0
634,S2-2019,2019,Japan,Passenger ships,,16,6202,169379,,,,
635,S2-2019,2019,Japan,Liquid bulk carriers,0.3083,11,8325,167578,14194.0,320701.0,,
636,S2-2019,2019,Japan,Container ships,0.3444,12,16744,219688,,,1598.0,20388.0
637,S2-2019,2019,Japan,Dry breakbulk carriers,1.1229,14,6641,49848,9637.0,138743.0,,
638,S2-2019,2019,Japan,Dry bulk carriers,0.7931,14,17080,203403,29801.0,400000.0,,
639,S2-2019,2019,Japan,Roll-on/ roll-off ships,,11,17751,76420,7560.0,43878.0,,
640,S2-2019,2019,Japan,Liquefied petroleum gas carriers,0.3333,15,5864,51035,6401.0,58757.0,,
641,S2-2019,2019,Japan,Liquefied natural gas carriers,0.9986,12,74519,149367,53364.0,121939.0,,
642,S2-2019,2019,"Korea, Republic of",All ships,0.8042,14,19824,232618,22396.0,326932.0,2922.0,23756.0
643,S2-2019,2019,"Korea, Republic of",Passenger ships,,16,15984,144216,,,,
644,S2-2019,2019,"Korea, Republic of",Liquid bulk carriers,0.7528,12,14267,170004,24754.0,323183.0,,
645,S2-2019,2019,"Korea, Republic of",Container ships,0.5903,13,31375,232618,,,2922.0,23756.0
646,S2-2019,2019,"Korea, Republic of",Dry breakbulk carriers,1.159,17,5347,46295,7994.0,138743.0,,
647,S2-2019,2019,"Korea, Republic of",Dry bulk carriers,2.1132,13,28965,172521,52161.0,326932.0,,
648,S2-2019,2019,"Korea, Republic of",Roll-on/ roll-off ships,,17,29682,76420,11886.0,43878.0,,
649,S2-2019,2019,"Korea, Republic of",Liquefied petroleum gas carriers,0.7708,16,7890,49394,8678.0,58899.0,,
650,S2-2019,2019,"Korea, Republic of",Liquefied natural gas carriers,1.0333,11,109515,168189,86187.0,156000.0,,
651,S2-2019,2019,Netherlands,All ships,0.5799,16,13468,232618,14656.0,320926.0,3046.0,23756.0
652,S2-2019,2019,Netherlands,Passenger ships,,14,14729,177000,,,,
653,S2-2019,2019,Netherlands,Liquid bulk carriers,0.5188,15,10216,166308,18828.0,320926.0,,
654,S2-2019,2019,Netherlands,Container ships,0.8118,13,33047,232618,,,3046.0,23756.0
655,S2-2019,2019,Netherlands,Dry breakbulk carriers,0.4271,19,4001,71543,5355.0,73296.0,,
656,S2-2019,2019,Netherlands,Dry bulk carriers,0.6205,10,36107,118305,64286.0,233584.0,,
657,S2-2019,2019,Netherlands,Roll-on/ roll-off ships,,20,16256,75283,6624.0,48988.0,,
658,S2-2019,2019,Netherlands,Liquefied petroleum gas carriers,0.9063,11,6561,48542,7316.0,58448.0,,
659,S2-2019,2019,Netherlands,Liquefied natural gas carriers,1.0667,5,64746,136410,51298.0,106896.0,,
660,S2-2019,2019,Norway,All ships,0.4285,17,4379,171598,6992.0,320805.0,792.0,1678.0
661,S2-2019,2019,Norway,Passenger ships,,16,4250,171598,,,,
662,S2-2019,2019,Norway,Liquid bulk carriers,0.6014,15,11419,165680,18387.0,320805.0,,
663,S2-2019,2019,Norway,Container ships,0.3441,16,8317,17189,,,792.0,1678.0
664,S2-2019,2019,Norway,Dry breakbulk carriers,0.3389,22,2830,39258,3319.0,55807.0,,
665,S2-2019,2019,Norway,Dry bulk carriers,0.7979,16,16231,109716,27199.0,211081.0,,
666,S2-2019,2019,Norway,Roll-on/ roll-off ships,,17,9809,58767,5926.0,20589.0,,
667,S2-2019,2019,Norway,Liquefied petroleum gas carriers,0.7358,10,10964,47995,12150.0,54561.0,,
668,S2-2019,2019,Norway,Liquefied natural gas carriers,0.3014,12,17785,122000,12584.0,96811.0,,
669,S2-2019,2019,Russian Federation,All ships,1.2667,26,10802,171598,15029.0,182000.0,1540.0,7100.0
670,S2-2019,2019,Russian Federation,Passenger ships,,29,28296,171598,,,,
671,S2-2019,2019,Russian Federation,Liquid bulk carriers,0.9861,24,11875,94729,19934.0,167295.0,,
672,S2-2019,2019,Russian Federation,Container ships,1.2927,16,16979,85676,,,1540.0,7100.0
673,S2-2019,2019,Russian Federation,Dry breakbulk carriers,1.5243,31,3949,54529,5030.0,80500.0,,
674,S2-2019,2019,Russian Federation,Dry bulk carriers,2.4194,15,25473,94742,44300.0,182000.0,,
675,S2-2019,2019,Russian Federation,Roll-on/ roll-off ships,,28,10465,50000,5335.0,18250.0,,
676,S2-2019,2019,Russian Federation,Liquefied petroleum gas carriers,1.2292,10,9332,18425,10489.0,22911.0,,
677,S2-2019,2019,Russian Federation,Liquefied natural gas carriers,1.0431,7,94946,128975,70444.0,97000.0,,
678,S2-2019,2019,Spain,All ships,0.8875,17,16361,232618,14172.0,318744.0,3277.0,23756.0
679,S2-2019,2019,Spain,Passenger ships,,19,14431,225282,,,,
680,S2-2019,2019,Spain,Liquid bulk carriers,0.8944,11,11108,160457,18237.0,318744.0,,
681,S2-2019,2019,Spain,Container ships,0.6493,14,36049,232618,,,3277.0,23756.0
682,S2-2019,2019,Spain,Dry breakbulk carriers,1.2111,15,5207,71543,7313.0,62980.0,,
683,S2-2019,2019,Spain,Dry bulk carriers,2.0184,16,21871,106884,37673.0,206007.0,,
684,S2-2019,2019,Spain,Roll-on/ roll-off ships,,17,22925,76420,7874.0,46705.0,,
685,S2-2019,2019,Spain,Liquefied petroleum gas carriers,0.9792,11,7077,48963,8105.0,55173.0,,
686,S2-2019,2019,Spain,Liquefied natural gas carriers,1.0458,9,96959,163922,76585.0,156000.0,,
687,S2-2019,2019,Sweden,All ships,0.8035,22,15895,214286,8503.0,167295.0,1414.0,19630.0
688,S2-2019,2019,Sweden,Passenger ships,,24,18864,145655,,,,
689,S2-2019,2019,Sweden,Liquid bulk carriers,0.6844,14,8210,93147,12565.0,167295.0,,
690,S2-2019,2019,Sweden,Container ships,0.6465,15,15182,214286,,,1414.0,19630.0
691,S2-2019,2019,Sweden,Dry breakbulk carriers,1.0524,20,3687,37447,5160.0,61026.0,,
692,S2-2019,2019,Sweden,Dry bulk carriers,0.4885,30,7330,45223,10795.0,84904.0,,
693,S2-2019,2019,Sweden,Roll-on/ roll-off ships,,19,27996,75283,9709.0,31143.0,,
694,S2-2019,2019,Sweden,Liquefied petroleum gas carriers,0.8549,14,8111,47379,9077.0,58690.0,,
695,S2-2019,2019,Türkiye,All ships,1.1882,24,5392,176490,15633.0,314000.0,3072.0,15908.0
696,S2-2019,2019,Türkiye,Passenger ships,,25,1650,99836,,,,
697,S2-2019,2019,Türkiye,Liquid bulk carriers,1.1854,13,18749,160716,32471.0,314000.0,,
698,S2-2019,2019,Türkiye,Container ships,0.6271,16,33958,176490,,,3072.0,15908.0
699,S2-2019,2019,Türkiye,Dry breakbulk carriers,1.475,27,3942,43528,5520.0,62980.0,,
700,S2-2019,2019,Türkiye,Dry bulk carriers,3.4215,15,24994,94984,42967.0,182757.0,,
701,S2-2019,2019,Türkiye,Roll-on/ roll-off ships,,27,20198,76420,8448.0,46704.0,,
702,S2-2019,2019,Türkiye,Liquefied petroleum gas carriers,1.3267,16,17601,48963,20454.0,58899.0,,
703,S2-2019,2019,Türkiye,Liquefied natural gas carriers,1.2451,10,112880,137535,90879.0,121914.0,,
704,S2-2019,2019,United States of America,All ships,1.3882,24,16343,228081,46260.0,321300.0,5293.0,14414.0
705,S2-2019,2019,United States of America,Passenger ships,,27,8383,228081,,,,
706,S2-2019,2019,United States of America,Liquid bulk carriers,1.6222,10,35144,170000,60841.0,321300.0,,
707,S2-2019,2019,United States of America,Container ships,1.0125,13,59170,154000,,,5293.0,14414.0
708,S2-2019,2019,United States of America,Dry breakbulk carriers,1.8753,16,12678,66870,17219.0,72927.0,,
709,S2-2019,2019,United States of America,Dry bulk carriers,1.5382,23,26927,108237,48292.0,209331.0,,
710,S2-2019,2019,United States of America,Roll-on/ roll-off ships,,13,58072,100430,21164.0,55828.0,,
711,S2-2019,2019,United States of America,Liquefied petroleum gas carriers,1.9799,8,30924,59226,35394.0,59138.0,,
712,S2-2019,2019,United States of America,Liquefied natural gas carriers,1.2698,5,99257,149367,81152.0,156000.0,,
713,S2-2019,2019,United Kingdom,All ships,1.0764,17,13755,232618,12295.0,320926.0,3366.0,23756.0
714,S2-2019,2019,United Kingdom,Passenger ships,,17,12350,177000,,,,
715,S2-2019,2019,United Kingdom,Liquid bulk carriers,1.0354,14,12425,166308,20712.0,320926.0,,
716,S2-2019,2019,United Kingdom,Container ships,0.7142,14,36763,232618,,,3366.0,23756.0
717,S2-2019,2019,United Kingdom,Dry breakbulk carriers,1.4889,18,3461,71543,4744.0,57441.0,,
718,S2-2019,2019,United Kingdom,Dry bulk carriers,2.367,13,25449,106405,43537.0,207805.0,,
719,S2-2019,2019,United Kingdom,Roll-on/ roll-off ships,,14,23316,100430,9743.0,55828.0,,
720,S2-2019,2019,United Kingdom,Liquefied petroleum gas carriers,1.15,11,6548,47379,6922.0,54540.0,,
721,S2-2019,2019,United Kingdom,Liquefied natural gas carriers,1.2198,7,115247,168189,93104.0,155159.0,,
722,S1-2020,2020,World,All ships,0.9944,18,15125,235500,25118.0,441561.0,3516.0,23964.0
723,S1-2020,2020,World,Passenger ships,,20,7977,228081,,,,
724,S1-2020,2020,World,Liquid bulk carriers,0.9701,14,15828,234006,27469.0,441561.0,,
725,S1-2020,2020,World,Container ships,0.6861,14,37990,235500,,,3516.0,23964.0
726,S1-2020,2020,World,Dry breakbulk carriers,1.1757,21,5469,91784,7443.0,116173.0,,
727,S1-2020,2020,World,Dry bulk carriers,2.0868,14,32270,204014,57693.0,404389.0,,
728,S1-2020,2020,World,Roll-on/ roll-off ships,,17,25093,100430,10141.0,55828.0,,
729,S1-2020,2020,World,Liquefied petroleum gas carriers,1.0389,15,10848,59226,12214.0,64220.0,,
730,S1-2020,2020,World,Liquefied natural gas carriers,1.1111,11,96625,168189,75321.0,156000.0,,
731,S1-2020,2020,Australia,All ships,1.4889,21,25790,169379,81834.0,299688.0,4653.0,9572.0
732,S1-2020,2020,Australia,Passenger ships,,29,4608,169379,,,,
733,S1-2020,2020,Australia,Liquid bulk carriers,1.2563,8,22571,85496,38315.0,164274.0,,
734,S1-2020,2020,Australia,Container ships,1.3083,13,50747,109712,,,4653.0,9572.0
735,S1-2020,2020,Australia,Dry breakbulk carriers,2.226,12,22170,54725,31804.0,80500.0,,
736,S1-2020,2020,Australia,Dry bulk carriers,1.6215,10,59257,152457,110888.0,299688.0,,
737,S1-2020,2020,Australia,Roll-on/ roll-off ships,,13,37141,76420,14643.0,43878.0,,
738,S1-2020,2020,Australia,Liquefied petroleum gas carriers,0.9323,10,13740,50676,15648.0,58591.0,,
739,S1-2020,2020,Australia,Liquefied natural gas carriers,1.1851,9,111338,144978,85324.0,97730.0,,
740,S1-2020,2020,Canada,All ships,0.9944,27,11129,170618,35515.0,320780.0,5192.0,14414.0
741,S1-2020,2020,Canada,Passenger ships,,31,6277,149215,,,,
742,S1-2020,2020,Canada,Liquid bulk carriers,1.0917,12,23713,170618,39795.0,320780.0,,
743,S1-2020,2020,Canada,Container ships,1.6229,14,57154,153666,,,5192.0,14414.0
744,S1-2020,2020,Canada,Dry breakbulk carriers,1.0125,13,13242,41580,18517.0,56816.0,,
745,S1-2020,2020,Canada,Dry bulk carriers,0.5833,21,29092,109500,49986.0,209954.0,,
746,S1-2020,2020,Canada,Roll-on/ roll-off ships,,18,10842,100430,6098.0,55828.0,,
747,S1-2020,2020,Canada,Liquefied petroleum gas carriers,1.4882,11,41307,51035,48907.0,54804.0,,
748,S1-2020,2020,China,All ships,1.0556,13,32136,235500,45636.0,404389.0,4665.0,23964.0
749,S1-2020,2020,China,Passenger ships,,12,15223,169379,,,,
750,S1-2020,2020,China,Liquid bulk carriers,1.1132,11,19487,170004,34000.0,323182.0,,
751,S1-2020,2020,China,Container ships,0.5951,12,49840,235500,,,4665.0,23964.0
752,S1-2020,2020,China,Dry breakbulk carriers,1.2507,17,10009,91649,14189.0,101496.0,,
753,S1-2020,2020,China,Dry bulk carriers,2.0215,13,41352,204014,75286.0,404389.0,,
754,S1-2020,2020,China,Roll-on/ roll-off ships,,14,34409,76420,11208.0,43878.0,,
755,S1-2020,2020,China,Liquefied petroleum gas carriers,1.0083,15,8225,59226,9047.0,64220.0,,
756,S1-2020,2020,China,Liquefied natural gas carriers,1.1778,10,95555,168189,76135.0,155159.0,,
757,S1-2020,2020,Croatia,All ships,1.1111,17,3635,153744,14636.0,178361.0,2951.0,15226.0
758,S1-2020,2020,Croatia,Passenger ships,,16,3175,128052,,,,
759,S1-2020,2020,Croatia,Liquid bulk carriers,0.9476,14,15627,83545,26853.0,159999.0,,
760,S1-2020,2020,Croatia,Container ships,0.6507,13,31594,153744,,,2951.0,15226.0
761,S1-2020,2020,Croatia,Dry breakbulk carriers,2.1979,22,4712,45349,6275.0,52037.0,,
762,S1-2020,2020,Croatia,Dry bulk carriers,1.7819,35,7300,94035,12040.0,178361.0,,
763,S1-2020,2020,Denmark,All ships,0.7868,19,9477,214286,7567.0,159233.0,1813.0,19630.0
764,S1-2020,2020,Denmark,Passenger ships,,19,9814,75156,,,,
765,S1-2020,2020,Denmark,Liquid bulk carriers,0.7076,16,8498,90000,13469.0,159233.0,,
766,S1-2020,2020,Denmark,Container ships,0.4458,18,19275,214286,,,1813.0,19630.0
767,S1-2020,2020,Denmark,Dry breakbulk carriers,0.9441,24,3025,24778,4081.0,33217.0,,
768,S1-2020,2020,Denmark,Dry bulk carriers,0.858,15,8922,54486,14477.0,95263.0,,
769,S1-2020,2020,Denmark,Roll-on/ roll-off ships,,20,20676,59217,12435.0,24485.0,,
770,S1-2020,2020,Denmark,Liquefied petroleum gas carriers,1.0302,11,5125,20151,5719.0,24281.0,,
771,S1-2020,2020,France,All ships,1.2042,16,22519,235500,16967.0,320926.0,5012.0,23656.0
772,S1-2020,2020,France,Passenger ships,,17,24270,183900,,,,
773,S1-2020,2020,France,Liquid bulk carriers,1.0958,13,11924,166308,19798.0,320926.0,,
774,S1-2020,2020,France,Container ships,0.8062,14,55802,235500,,,5012.0,23656.0
775,S1-2020,2020,France,Dry breakbulk carriers,1.7167,17,4627,46112,6471.0,72924.0,,
776,S1-2020,2020,France,Dry bulk carriers,3.1076,13,23795,106952,40825.0,205203.0,,
777,S1-2020,2020,France,Roll-on/ roll-off ships,,16,29581,76420,11906.0,45200.0,,
778,S1-2020,2020,France,Liquefied petroleum gas carriers,1.1017,12,8674,48167,9743.0,58610.0,,
779,S1-2020,2020,France,Liquefied natural gas carriers,1.1625,9,106800,163922,82536.0,130026.0,,
780,S1-2020,2020,Germany,All ships,0.8205,19,14244,232618,9305.0,297638.0,4455.0,23964.0
781,S1-2020,2020,Germany,Passenger ships,,20,12043,125572,,,,
782,S1-2020,2020,Germany,Liquid bulk carriers,0.5208,17,5045,157316,8436.0,297638.0,,
783,S1-2020,2020,Germany,Container ships,0.9667,13,48606,232618,,,4455.0,23964.0
784,S1-2020,2020,Germany,Dry breakbulk carriers,1.0104,21,3683,71543,4852.0,62053.0,,
785,S1-2020,2020,Germany,Dry bulk carriers,2.6139,14,27377,109716,47845.0,211081.0,,
786,S1-2020,2020,Germany,Roll-on/ roll-off ships,,16,30253,100430,12041.0,55828.0,,
787,S1-2020,2020,Germany,Liquefied petroleum gas carriers,0.8333,13,5416,26261,5922.0,38427.0,,
788,S1-2020,2020,Greece,All ships,0.849,21,8161,215553,7628.0,174008.0,3699.0,21413.0
789,S1-2020,2020,Greece,Passenger ships,,19,7240,168666,,,,
790,S1-2020,2020,Greece,Liquid bulk carriers,0.6354,22,5511,87146,8796.0,167295.0,,
791,S1-2020,2020,Greece,Container ships,0.9861,16,39631,215553,,,3699.0,21413.0
792,S1-2020,2020,Greece,Dry breakbulk carriers,1.2424,33,2767,22064,3875.0,33422.0,,
793,S1-2020,2020,Greece,Dry bulk carriers,0.4056,26,5981,88930,10076.0,174008.0,,
794,S1-2020,2020,Greece,Roll-on/ roll-off ships,,32,16602,76420,6983.0,28818.0,,
795,S1-2020,2020,Greece,Liquefied petroleum gas carriers,0.9722,23,5687,17242,6770.0,18111.0,,
796,S1-2020,2020,Greece,Liquefied natural gas carriers,1.2007,11,113469,136980,96312.0,156000.0,,
797,S1-2020,2020,Indonesia,All ships,1.2271,21,7842,172000,16280.0,209325.0,1534.0,14855.0
798,S1-2020,2020,Indonesia,Passenger ships,,23,4982,110239,,,,
799,S1-2020,2020,Indonesia,Liquid bulk carriers,1.1972,16,7718,81866,11910.0,159313.0,,
800,S1-2020,2020,Indonesia,Container ships,0.9799,14,15882,172000,,,1534.0,14855.0
801,S1-2020,2020,Indonesia,Dry breakbulk carriers,1.2073,20,4910,49718,6594.0,81279.0,,
802,S1-2020,2020,Indonesia,Dry bulk carriers,3.2125,17,25187,108100,44196.0,209325.0,,
803,S1-2020,2020,Indonesia,Roll-on/ roll-off ships,,34,9358,66802,4421.0,22438.0,,
804,S1-2020,2020,Indonesia,Liquefied petroleum gas carriers,1.0788,20,9878,50676,10998.0,58899.0,,
805,S1-2020,2020,Indonesia,Liquefied natural gas carriers,1.4003,20,87301,139049,68621.0,97794.0,,
806,S1-2020,2020,Italy,All ships,1.3111,26,9657,232618,18260.0,298563.0,4031.0,23756.0
807,S1-2020,2020,Italy,Passenger ships,,29,5955,183900,,,,
808,S1-2020,2020,Italy,Liquid bulk carriers,1.2986,17,16104,159087,27280.0,298563.0,,
809,S1-2020,2020,Italy,Container ships,0.916,16,44139,232618,,,4031.0,23756.0
810,S1-2020,2020,Italy,Dry breakbulk carriers,2.0542,20,6031,46112,8180.0,72924.0,,
811,S1-2020,2020,Italy,Dry bulk carriers,3.6125,14,22371,94542,38155.0,181110.0,,
812,S1-2020,2020,Italy,Roll-on/ roll-off ships,,13,31381,76420,12485.0,45200.0,,
813,S1-2020,2020,Italy,Liquefied petroleum gas carriers,1.5465,12,8925,25079,9982.0,28100.0,,
814,S1-2020,2020,Japan,All ships,0.3993,14,10709,201989,14947.0,400440.0,1600.0,18400.0
815,S1-2020,2020,Japan,Passenger ships,,16,5109,169379,,,,
816,S1-2020,2020,Japan,Liquid bulk carriers,0.3063,12,8069,167578,13715.0,321137.0,,
817,S1-2020,2020,Japan,Container ships,0.3354,13,16666,192237,,,1600.0,18400.0
818,S1-2020,2020,Japan,Dry breakbulk carriers,1.1708,15,6497,49854,8754.0,80500.0,,
819,S1-2020,2020,Japan,Dry bulk carriers,0.8396,14,17103,201989,29737.0,400440.0,,
820,S1-2020,2020,Japan,Roll-on/ roll-off ships,,12,16757,76420,7291.0,43878.0,,
821,S1-2020,2020,Japan,Liquefied petroleum gas carriers,0.3403,15,6559,51035,7191.0,58811.0,,
822,S1-2020,2020,Japan,Liquefied natural gas carriers,0.9958,14,71816,149367,52010.0,121963.0,,
823,S1-2020,2020,"Korea, Republic of",All ships,0.8431,15,21260,235500,23537.0,326932.0,3003.0,23964.0
824,S1-2020,2020,"Korea, Republic of",Passenger ships,,17,17860,169379,,,,
825,S1-2020,2020,"Korea, Republic of",Liquid bulk carriers,0.8056,13,15490,170004,26991.0,321300.0,,
826,S1-2020,2020,"Korea, Republic of",Container ships,0.6153,13,32135,235500,,,3003.0,23964.0
827,S1-2020,2020,"Korea, Republic of",Dry breakbulk carriers,1.2375,18,5397,91649,7664.0,101496.0,,
828,S1-2020,2020,"Korea, Republic of",Dry bulk carriers,2.0333,15,28617,172521,51555.0,326932.0,,
829,S1-2020,2020,"Korea, Republic of",Roll-on/ roll-off ships,,18,29822,76420,12030.0,43878.0,,
830,S1-2020,2020,"Korea, Republic of",Liquefied petroleum gas carriers,0.8674,17,7986,49394,8647.0,58811.0,,
831,S1-2020,2020,"Korea, Republic of",Liquefied natural gas carriers,1.025,12,109849,168189,86196.0,155159.0,,
832,S1-2020,2020,Netherlands,All ships,0.5889,17,13223,235500,14360.0,320926.0,2997.0,23964.0
833,S1-2020,2020,Netherlands,Passenger ships,,15,14748,150695,,,,
